aX,aY,aZ,gX,gY,gZ
-0.082,0.159,-1.033,63.965,-93.384,6.653
-0.091,0.088,-1.028,70.068,-68.787,19.409
-0.085,0.021,-1.000,69.946,-43.640,27.222
-0.066,-0.044,-0.961,71.106,-20.203,32.715
-0.047,-0.111,-0.885,73.853,1.465,34.729
-0.025,-0.153,-0.798,67.322,22.156,34.729
-0.007,-0.182,-0.695,52.002,41.931,35.400
0.015,-0.195,-0.552,34.424,62.256,35.217
0.047,-0.192,-0.394,14.465,81.909,33.081
0.043,-0.211,-0.253,-8.972,98.572,27.954
0.042,-0.283,-0.126,-32.471,110.229,22.217
0.028,-0.335,0.041,-55.847,115.906,17.883
0.008,-0.366,0.250,-68.237,118.164,14.709
0.002,-0.380,0.467,-65.979,116.943,14.709
-0.002,-0.400,0.651,-58.960,111.511,15.015
0.009,-0.425,0.782,-52.856,105.286,13.123
0.005,-0.427,0.905,-47.485,98.511,10.986
-0.010,-0.412,1.044,-41.382,92.834,9.155
-0.023,-0.363,1.197,-36.499,87.158,6.714
-0.050,-0.280,1.349,-32.410,80.566,2.991
-0.072,-0.197,1.463,-24.414,73.425,0.793
-0.074,-0.113,1.513,-18.677,63.721,0.122
-0.055,-0.069,1.530,-17.517,52.490,1.160
-0.039,-0.040,1.548,-22.339,40.833,3.235
-0.037,-0.024,1.570,-28.564,30.212,5.615
-0.033,-0.008,1.607,-35.339,19.409,7.507
-0.045,0.001,1.651,-38.147,9.277,9.460
-0.196,0.205,2.106,-29.785,-0.244,10.498
-0.639,0.511,4.000,7.019,-43.518,11.169
0.129,-0.410,1.761,-6.897,-71.411,-19.653
0.267,-0.431,1.115,-20.203,-32.166,-34.119
-0.093,-0.383,0.971,-23.621,-33.752,-33.203
-0.021,-0.077,1.018,-18.616,-32.410,-17.578
-0.113,-0.024,1.365,-0.183,-26.733,6.958
-0.137,-0.082,1.358,19.104,-24.841,14.343
-0.114,-0.067,1.197,20.752,-28.687,12.634
-0.120,-0.063,1.046,23.193,-29.663,8.911
-0.127,-0.074,0.945,20.142,-24.841,5.798
-0.130,-0.066,0.903,11.902,-19.104,3.906
-0.146,-0.065,0.943,3.601,-15.137,3.235
-0.156,-0.100,0.998,-3.845,-10.925,2.563
-0.141,-0.146,1.012,-10.132,-8.362,2.563
-0.136,-0.176,1.037,-10.742,-7.690,2.747
-0.137,-0.206,1.042,-6.409,-7.324,2.563
-0.129,-0.219,1.024,-1.282,-6.592,3.479
-0.133,-0.229,1.004,5.371,-5.798,5.432
-0.146,-0.231,0.991,12.573,-5.127,6.409
-0.148,-0.212,0.976,15.686,-3.967,6.042
-0.150,-0.187,0.978,15.564,-2.197,5.249
-0.158,-0.167,0.987,14.709,-0.488,4.272
-0.164,-0.155,0.999,13.611,0.977,2.869
-0.168,-0.141,1.000,11.658,2.014,1.160
-0.165,-0.135,1.000,8.911,2.686,0.183
-0.160,-0.129,0.996,4.761,2.869,-0.671
-0.151,-0.127,0.993,1.038,3.235,-1.343
-0.147,-0.130,0.991,-1.770,3.418,-1.099
-0.142,-0.127,0.986,-4.150,2.991,-0.549
-0.142,-0.128,0.986,-5.798,2.869,0.061
-0.143,-0.126,0.992,-6.653,3.479,0.671
-0.143,-0.118,0.998,-7.080,4.089,1.099
-0.143,-0.111,0.999,-6.226,3.967,1.465
-0.139,-0.106,0.998,-4.761,2.869,1.831
-0.142,-0.104,0.996,-3.113,1.770,2.502
-0.139,-0.098,0.991,-1.770,0.732,2.930
-0.146,-0.093,0.981,-0.610,0.122,3.418
-0.145,-0.097,0.974,0.793,0.000,3.662
-0.140,-0.105,0.972,1.526,0.305,3.906
-0.143,-0.104,0.974,1.953,0.793,3.906
-0.146,-0.112,0.985,3.235,1.343,4.150
-0.151,-0.114,0.997,4.395,1.404,4.089
-0.148,-0.122,1.000,5.371,1.038,4.150
-0.152,-0.128,1.000,5.371,0.122,3.845
-0.152,-0.136,0.999,5.615,-0.610,3.906
-0.155,-0.140,0.994,4.883,-1.953,4.211
-0.152,-0.140,0.985,3.906,-2.563,4.761
-0.150,-0.141,0.984,3.174,-2.747,4.883
-0.153,-0.143,0.980,2.563,-2.563,5.005
-0.148,-0.147,0.975,1.648,-1.953,5.249
-0.151,-0.148,0.980,1.038,-1.221,5.188
-0.154,-0.145,0.987,0.488,-0.366,5.066
-0.151,-0.147,0.992,0.122,0.366,4.822
-0.152,-0.151,0.995,0.366,0.671,4.883
-0.149,-0.148,0.998,0.793,0.916,4.822
-0.146,-0.154,0.997,1.221,0.854,5.066
-0.147,-0.145,0.993,0.671,0.854,5.249
-0.144,-0.144,0.991,0.732,0.977,5.737
-0.143,-0.148,0.992,0.793,1.160,6.348
-0.141,-0.149,0.988,0.854,1.648,6.165
-0.139,-0.151,0.986,1.221,2.319,5.676
-0.140,-0.150,0.984,1.770,2.808,5.249
-0.141,-0.147,0.981,2.380,3.601,4.883
-0.141,-0.147,0.981,2.808,3.662,5.005
-0.143,-0.146,0.982,3.296,3.540,5.371
-0.142,-0.143,0.982,3.601,3.174,5.859
-0.142,-0.143,0.986,3.906,3.174,6.470
-0.140,-0.150,0.986,4.333,3.235,6.714
-0.137,-0.151,0.985,4.150,3.113,6.836
-0.136,-0.157,0.982,4.089,2.991,6.653
-0.139,-0.165,0.981,3.662,3.174,6.226
-0.139,-0.163,0.981,3.296,3.113,5.859
-0.140,-0.158,0.979,2.625,3.113,5.920
-0.141,-0.157,0.978,2.319,2.258,6.287
-0.139,-0.160,0.980,2.014,1.526,6.531
-0.141,-0.160,0.979,1.709,0.916,6.958
-0.137,-0.158,0.981,0.854,0.305,7.019
-0.385,-0.401,3.540,76.843,80.933,72.021
-0.760,-0.655,3.931,74.951,104.309,57.556
-0.516,-0.594,3.659,-19.836,53.650,24.231
-0.129,-0.498,3.043,-67.566,-25.940,-14.709
0.018,-0.355,2.389,-84.290,-76.294,-47.974
0.072,-0.285,1.788,-74.219,-98.145,-62.256
0.081,-0.190,1.410,-46.082,-112.854,-60.425
0.080,-0.058,1.135,-20.691,-120.667,-54.749
0.059,0.096,0.850,-2.075,-123.474,-53.162
0.041,0.201,0.504,12.634,-125.610,-52.612
0.034,0.270,0.123,21.667,-127.380,-50.598
0.005,0.306,-0.254,21.729,-125.732,-44.983
